21_03_16-18-43-22,27.815391463258774,27.569072151419572,31.706096,31.819888,0.2463193118392013,21.140736,42.266448,20.986528,42.429856,cubic,cubic
21_03_16-18-51-44,28.05332902893893,26.09031426865672,31.819888,27.82664,1.96301476028221,21.214928,31.824896,20.5870144,31.6800288,cubic,bbr
21_03_16-19-00-06,26.961234098765456,25.803417179941025,31.819888,27.284704,1.1578169188244303,21.215919200000002,31.938688,21.0310208,31.8063392,cubic,hybla
_03_16-19-08-28,26.7431311559633,28.491379394736807,28.616592,31.618976,-1.748248238773506,21.2776448,31.8538912,10.583712,36.043072,bbr,bbr
_03_16-19-16-50,26.74275544954129,26.522034230303042,27.605552,27.457328,0.2207212192382464,25.224944,30.663328,22.7934224,31.1977184,bbr,hybla
21_03_16-19-25-13,26.705132892966375,29.896338281786907,28.599856,31.753616,-3.1912053888205314,21.5991936,31.860275199999997,25.516784,31.819888,hybla,hybla
21_03_16-19-33-23,29.153311357859543,29.348346397306422,31.753616,31.819888,-0.1950350394468785,21.135728,42.429856,21.219936,42.424848,cubic,cubic
21_03_16-19-41-33,28.759057848184852,27.297880225000007,31.819888,29.096056,1.4611776231848452,21.214928,31.8525696,22.336467199999998,31.8537584,cubic,bbr
21_03_16-19-49-42,28.694951552631604,27.70179867936505,31.819888,29.26784,0.9931528732665527,21.214928,31.824895999999995,23.511376,31.855792,cubic,hybla
_03_16-19-57-52,25.87242231952663,27.22268339622642,27.69812,31.615552,-1.3502610766997876,19.4510608,31.7775408,8.271936000000004,35.911696,bbr,bbr
_03_16-20-06-01,26.282469309309317,26.133707200000007,27.598448,27.452848,0.14876210930930966,22.541472,30.660800000000002,22.8186368,30.808976,bbr,hybla
21_03_16-20-14-12,27.193662529594995,29.63905156462585,28.827248,31.786752,-2.4453890350308534,21.962928,31.851568,21.219936,31.824895999999995,hybla,hybla
21_03_16-20-22-22,29.843362301369886,29.845169671232906,31.819888,31.819888,-0.0018073698630196589,21.214928,42.429856,21.214928,42.429856,cubic,cubic
21_03_16-20-30-31,27.98832635897439,27.114968223602478,31.819888,29.061144,0.8733581353719124,21.214928,31.824896,21.6445632,31.850503999999997,cubic,bbr
21_03_16-20-38-41,29.10753656187287,27.450049886792456,31.753616,28.937992,1.6574866750804134,21.1700512,31.797129599999998,23.0213584,31.850588799999997,cubic,hybla
_03_16-20-46-51,26.40934042296072,28.48143523684207,28.196832,31.615552,-2.0720948138813498,21.29544,31.766576,17.916886400000003,35.744993599999994,bbr,bbr
_03_16-20-55-00,26.440193160120835,26.65385663414637,27.605552,27.768895999999998,-0.21366347402553387,22.586448,31.051408,23.338268799999998,31.045352,bbr,hybla
21_03_16-21-03-11,27.360196438871455,30.697333540635988,29.089824,31.721936,-3.337137101764533,22.7560064,31.8638176,31.701088,31.753616,hybla,hybla
21_03_16-21-11-21,30.15301561245676,29.828709506849265,31.819888,31.753616,0.3243061056074943,21.191167999999998,42.424848,20.2763264,42.334816,cubic,cubic
21_03_16-21-19-31,28.875785165562938,27.960337794871787,31.819888,29.642623999999998,0.915447370691151,21.214928,31.824896,22.73016,31.8616,cubic,bbr
21_03_16-21-27-40,28.481869019607828,26.778837079754595,31.737776,28.997976,1.7030319398532328,21.149,31.825688,21.283431999999998,31.851824,cubic,hybla
_03_16-21-35-50,24.99436630857142,26.7216042716049,26.845952,31.613968,-1.727237963033481,17.4200288,31.202384000000002,10.5547352,33.0044672,bbr,bbr
_03_16-21-44-00,25.826487622418878,25.95964781008902,27.289088,27.011296,-0.1331601876701427,21.4495456,30.4218656,21.7175552,30.48872,bbr,hybla
21_03_16-21-52-10,26.39903625377645,30.618079462897537,27.785984,31.655936,-4.219043209121086,21.958064,31.851568,31.645648,31.682918400000002,hybla,hybla
21_03_16-22-00-21,24.96621538461539,25.08880653295129,26.352304,26.289232,-0.1225911483358999,14.675216,31.938688,12.7304736,31.959984,cubic,cubic
21_03_16-22-08-30,28.484445568627486,26.975940172839504,31.819888,28.53884,1.5085053957879815,21.214928,31.824896,22.684976,31.8497728,cubic,bbr
21_03_16-22-16-40,28.585798111475434,27.36257702821317,31.819888,28.848144,1.2232210832622634,21.214928,31.859488,22.776384,31.8614368,cubic,hybla
_03_16-22-24-50,25.891685514792908,28.843838373333377,27.508592,31.58888,-2.952152858540469,19.625267200000003,31.5268352,10.5811472,36.852544,bbr,bbr
_03_16-22-32-59,26.109199116417912,26.114202913432877,27.104528,27.311728,-0.005003797014964562,23.628857600000003,30.59024,23.573254400000003,30.333488000000003,bbr,hybla
21_03_16-22-41-10,27.024394154798777,29.436790027027065,28.880688,31.819888,-2.412395872228288,21.917903999999997,31.8525184,21.214928,31.859488,hybla,hybla
21_03_16-22-49-21,29.45215951351354,29.45858602702706,31.819888,31.819888,-0.0064265135135208595,21.214928,42.429856,21.214928,42.429856,cubic,cubic
21_03_16-22-57-30,28.701415260726044,27.01595786996903,31.748608,28.753424,1.6854573907570156,21.172416,31.777376,22.5642624,31.7219552,cubic,bbr
21_03_16-23-05-39,29.014632186666642,26.87770604307691,31.748608,28.62168,2.136926143589733,21.167408,31.772368,22.4098464,31.8545248,cubic,hybla
_03_16-23-13-49,26.171712119760464,28.116690831168793,27.972912,31.617264,-1.9449787114083286,21.108536,31.790622399999997,10.221844800000003,36.175472,bbr,bbr
_03_16-23-21-58,26.97005948148148,26.900488443076924,28.338448,28.013072,0.06957103840455758,23.891916799999997,31.4463712,24.127712000000002,31.073072000000003,bbr,hybla
