21_03_16-18-43-22,27.81539146,27.56907215,31.706096,31.819888,0.246319312,21.140736,42.266448,20.986528,42.429856,cubic,cubic
21_03_16-18-51-44,28.05332903,26.09031427,31.819888,27.82664,1.96301476,21.214928,31.824896,20.5870144,31.6800288,cubic,bbr
21_03_16-19-00-06,26.9612341,25.80341718,31.819888,27.284704,1.157816919,21.2159192,31.938688,21.0310208,31.8063392,cubic,hybla
_03_16-19-08-28,26.74313116,28.49137939,28.616592,31.618976,-1.748248239,21.2776448,31.8538912,10.583712,36.043072,bbr,bbr
_03_16-19-16-50,26.74275545,26.52203423,27.605552,27.457328,0.220721219,25.224944,30.663328,22.7934224,31.1977184,bbr,hybla
21_03_16-19-25-13,26.70513289,29.89633828,28.599856,31.753616,-3.191205389,21.5991936,31.8602752,25.516784,31.819888,hybla,hybla
21_03_16-19-33-23,29.15331136,29.3483464,31.753616,31.819888,-0.195035039,21.135728,42.429856,21.219936,42.424848,cubic,cubic
21_03_16-19-41-33,28.75905785,27.29788023,31.819888,29.096056,1.461177623,21.214928,31.8525696,22.3364672,31.8537584,cubic,bbr
21_03_16-19-49-42,28.69495155,27.70179868,31.819888,29.26784,0.993152873,21.214928,31.824896,23.511376,31.855792,cubic,hybla
_03_16-19-57-52,25.87242232,27.2226834,27.69812,31.615552,-1.350261077,19.4510608,31.7775408,8.271936,35.911696,bbr,bbr
_03_16-20-06-01,26.28246931,26.1337072,27.598448,27.452848,0.148762109,22.541472,30.6608,22.8186368,30.808976,bbr,hybla
21_03_16-20-14-12,27.19366253,29.63905156,28.827248,31.786752,-2.445389035,21.962928,31.851568,21.219936,31.824896,hybla,hybla
21_03_16-20-22-22,29.8433623,29.84516967,31.819888,31.819888,-0.00180737,21.214928,42.429856,21.214928,42.429856,cubic,cubic
21_03_16-20-30-31,27.98832636,27.11496822,31.819888,29.061144,0.873358135,21.214928,31.824896,21.6445632,31.850504,cubic,bbr
21_03_16-20-38-41,29.10753656,27.45004989,31.753616,28.937992,1.657486675,21.1700512,31.7971296,23.0213584,31.8505888,cubic,hybla
_03_16-20-46-51,26.40934042,28.48143524,28.196832,31.615552,-2.072094814,21.29544,31.766576,17.9168864,35.7449936,bbr,bbr
_03_16-20-55-00,26.44019316,26.65385663,27.605552,27.768896,-0.213663474,22.586448,31.051408,23.3382688,31.045352,bbr,hybla
21_03_16-21-03-11,27.36019644,30.69733354,29.089824,31.721936,-3.337137102,22.7560064,31.8638176,31.701088,31.753616,hybla,hybla
21_03_16-21-11-21,30.15301561,29.82870951,31.819888,31.753616,0.324306106,21.191168,42.424848,20.2763264,42.334816,cubic,cubic
